  @relation pacmanfilterDist
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @ATTRIBUTE LegalWest {0, 1}
    @ATTRIBUTE LegalEast {0, 1}
    @ATTRIBUTE LegalNorth {0, 1}
    @ATTRIBUTE LegalSouth {0, 1}
    @ATTRIBUTE GUno {True, False}
    @ATTRIBUTE GDos {True, False}
    @ATTRIBUTE GTres {True, False}
    @ATTRIBUTE GCuatro {True, False}
    @ATTRIBUTE posxGUno NUMERIC 
    @ATTRIBUTE posyGUno NUMERIC
    @ATTRIBUTE posxGDos NUMERIC 
    @ATTRIBUTE posyGDos NUMERIC
    @ATTRIBUTE posxGTres NUMERIC 
    @ATTRIBUTE posyGTres NUMERIC
    @ATTRIBUTE posxGCuatro NUMERIC 
    @ATTRIBUTE posyGCuatro NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}

@data
1,5,0,1,1,1,True,True,False,True,4,5,2,3,5,1,11,9,South
1,4,0,1,1,1,True,True,False,True,3,5,2,4,5,1,12,9,East
2,4,1,1,1,1,True,False,False,True,4,5,3,1,5,1,13,9,East
3,4,1,1,1,1,True,False,False,True,4,5,3,1,5,1,13,9,East
4,4,1,1,1,1,True,False,False,True,5,5,3,1,5,1,12,9,East
5,4,1,1,1,1,True,False,False,True,5,5,3,1,5,1,11,9,East
6,4,1,1,1,1,True,False,False,True,5,4,3,1,5,1,12,9,North
6,5,1,1,0,1,True,False,False,True,5,5,3,1,5,1,11,9,Stop
6,5,1,1,0,1,True,False,False,True,5,4,3,1,5,1,11,10,Stop
6,5,1,1,0,1,True,False,False,True,5,3,3,1,5,1,11,10,West
5,5,1,1,0,1,True,False,False,True,5,3,3,1,5,1,10,10,West
4,5,1,1,0,1,True,False,False,True,5,3,3,1,5,1,10,9,West
3,5,1,1,0,1,True,False,False,True,6,3,3,1,5,1,10,10,South
3,4,1,1,1,1,True,False,False,True,6,4,3,1,5,1,10,11,South
3,3,1,1,1,0,True,False,False,True,6,4,3,1,5,1,9,11,East
4,3,1,1,1,0,True,False,False,True,6,5,3,1,5,1,10,11,East
5,3,1,1,1,0,True,False,False,True,7,5,3,1,5,1,10,11,East
6,3,1,1,1,0,True,False,False,True,7,4,3,1,5,1,9,11,East
7,3,1,1,1,0,True,False,False,True,7,5,3,1,5,1,8,11,North
7,4,1,1,1,1,True,False,False,True,6,5,3,1,5,1,9,11,North
7,5,1,1,0,1,True,False,False,True,6,5,3,1,5,1,9,11,East
8,5,1,1,1,1,True,False,False,True,7,5,3,1,5,1,10,11,East
9,5,1,1,1,1,True,False,False,True,6,5,3,1,5,1,10,10,East
10,5,1,1,1,1,True,False,False,True,6,5,3,1,5,1,10,10,East
11,5,1,1,0,1,True,False,False,True,7,5,3,1,5,1,10,9,East
12,5,1,1,0,0,True,False,False,True,7,5,3,1,5,1,10,10,East
13,5,1,1,0,1,True,False,False,True,7,4,3,1,5,1,10,10,East
14,5,1,1,1,1,True,False,False,True,7,5,3,1,5,1,11,10,North
14,6,0,0,1,1,True,False,False,True,8,5,3,1,5,1,11,9,North
14,7,1,1,1,1,True,False,False,True,8,6,3,1,5,1,11,9,West
13,7,1,1,1,0,True,False,False,True,9,6,3,1,5,1,11,10,West
12,7,0,1,1,0,True,False,False,True,10,6,3,1,5,1,10,10,Stop
12,7,0,1,1,0,True,False,False,True,9,6,3,1,5,1,10,9,Stop
12,7,0,1,1,0,True,False,False,True,10,6,3,1,5,1,10,8,Stop
12,7,0,1,1,0,True,False,False,True,10,7,3,1,5,1,10,9,North
12,8,0,1,1,1,True,False,False,True,10,8,3,1,5,1,10,10,North
12,9,1,1,0,1,True,False,False,True,10,9,3,1,5,1,10,11,West
11,9,1,1,1,0,True,False,False,True,10,10,3,1,5,1,10,10,West
10,9,1,1,1,1,False,False,False,True,1,1,3,1,5,1,10,11,West
9,9,1,1,0,1,False,False,False,True,1,1,3,1,5,1,10,11,South
9,8,1,1,1,1,False,False,False,True,1,1,3,1,5,1,11,11,South
9,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,10,11,South
9,6,1,1,1,1,False,False,False,True,1,1,3,1,5,1,11,11,North
9,7,1,1,1,1,False,False,False,True,1,1,3,1,5,1,11,10,East
10,7,1,0,1,1,False,False,False,True,1,1,3,1,5,1,11,10,Stop
10,7,1,0,1,1,False,False,False,True,1,1,3,1,5,1,11,10,North
10,8,1,0,1,1,False,False,False,True,1,1,3,1,5,1,10,10,North
10,9,1,1,1,1,False,False,False,True,1,1,3,1,5,1,10,11,North
1,11,0,1,0,1,True,True,True,True,6,5,6,9,8,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,6,5,6,8,9,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,5,7,8,10,11,14,6,Stop
1,11,0,1,0,1,True,True,True,True,7,4,7,7,10,11,14,7,Stop
1,11,0,1,0,1,True,True,True,True,7,3,7,7,10,10,14,7,Stop
1,11,0,1,0,1,True,True,True,True,8,3,7,7,11,10,14,7,Stop
1,11,0,1,0,1,True,True,True,True,8,3,6,7,11,10,15,7,Stop
1,11,0,1,0,1,True,True,True,True,7,3,6,7,11,9,16,7,East
2,11,1,1,0,0,True,True,True,True,7,4,6,8,10,9,16,8,East
3,11,1,1,0,0,True,True,True,True,8,4,6,9,10,9,16,9,East
4,11,1,1,0,0,True,True,True,True,8,3,6,8,11,9,16,9,East
5,11,1,1,0,1,True,True,True,True,8,3,6,8,11,10,16,9,East
6,11,1,1,0,1,True,True,True,True,8,4,6,8,11,10,15,9,South
6,10,1,0,1,1,True,True,True,True,8,4,5,8,11,11,15,9,South
6,9,1,1,1,1,True,True,True,True,8,4,5,8,11,11,14,9,South
6,8,1,1,1,1,True,True,True,True,8,3,5,7,11,11,13,9,East
7,8,1,1,1,1,True,True,True,True,7,3,6,7,11,11,13,8,East
8,8,1,1,1,1,True,True,True,True,8,3,6,8,11,11,14,8,East
9,8,1,1,1,1,True,True,True,True,8,4,6,7,11,11,14,7,West
8,8,1,1,1,1,True,True,True,True,7,4,7,7,12,11,13,7,West
7,8,1,1,1,1,True,True,True,True,7,4,8,7,12,11,14,7,West
6,8,1,1,1,1,True,True,True,True,6,4,8,7,12,11,14,7,West
5,8,1,1,1,1,True,True,True,True,5,4,7,7,13,11,14,8,East
6,8,1,1,1,1,True,True,True,True,5,5,7,8,14,11,13,8,South
6,7,1,1,1,0,True,True,True,True,6,5,6,8,14,11,13,8,Stop
