@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R1-2,19,21-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-Llast'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
0,1,0,1,11,6,8,19,5,-6,5,-1,8,0,13,-5,East
1,1,0,0,11,5,8,17,5,-6,4,-1,8,0,12,-6,East
1,1,0,0,11,4,8,17,4,-7,3,-1,8,0,10,-6,East
1,1,0,0,11,2,6,15,4,-7,2,0,6,0,9,-7,East
1,1,0,1,11,2,6,14,3,-8,1,-1,6,0,8,-6,East
1,1,0,1,10,2,6,12,2,-8,-1,-1,6,0,7,-6,East
1,1,0,0,8,4,6,10,0,-8,-2,-2,6,0,5,-6,East
1,1,0,0,9,4,4,9,-1,-8,-3,-1,4,0,3,-6,West
1,1,0,0,7,2,4,10,0,-7,-1,-1,4,0,4,-6,West
1,1,0,1,9,0,4,10,2,-7,-3,-10,4,0,5,-6,South
1,0,1,1,7,0,5,10,1,-6,-3,-9,4,1,4,-5,South
1,1,1,1,5,0,6,10,1,-4,-3,-8,4,2,5,-4,East
1,1,0,1,5,0,5,10,-1,-4,-4,-8,3,2,4,-5,East
1,1,0,1,7,0,3,8,-3,-4,-5,-8,2,1,3,-6,East
1,1,0,1,9,0,3,6,-4,-5,-6,-8,1,2,2,-5,East
1,1,1,1,9,0,3,4,-5,-4,-7,-8,-1,2,1,-4,North
0,1,1,1,9,0,3,6,-4,-5,-7,-9,-2,1,0,-5,North
1,1,0,1,9,0,3,7,-3,-6,-7,-10,-3,0,1,-6,West
1,1,0,0,9,0,3,9,-2,-7,-6,-10,-3,0,2,-6,West
1,1,0,0,7,0,2,10,-1,-6,-5,-10,-2,0,3,-7,West
1,1,0,0,6,0,2,10,0,-6,-4,-10,-2,0,4,-7,West
1,1,0,1,7,0,2,10,1,-6,-3,-10,-1,-1,4,-7,South
1,0,1,1,6,0,2,8,1,-5,-3,-9,-1,1,4,-5,West
0,1,1,1,6,0,0,7,1,-5,-2,-9,0,-9,4,-4,North
1,1,0,1,6,0,0,7,0,-6,-2,-10,0,-10,4,-4,South
0,1,1,1,6,0,0,5,1,-5,-2,-9,0,-9,4,-2,South
1,1,1,1,5,0,0,5,1,-4,-2,-8,0,-8,4,0,East
1,1,1,1,5,0,0,4,1,-4,-3,-8,-1,-8,4,0,East
1,1,0,1,5,0,0,4,-1,-4,-4,-8,-2,-8,3,0,East
