@relation 'pacman-data-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,23-24,26,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,10-weka.filters.unsupervised.attribute.Remove-R9'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,0,0,0,0,0,-7,0,-5,0,-3,0,9,0,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
1,1,1,0,0,0,0,0,-7,0,-5,0,-3,0,9,0,West
1,0,1,0,0,0,0,0,-11,0,-9,0,-7,0,5,0,West
1,1,0,0,0,0,0,0,-3,0,-1,0,1,0,13,0,West
1,1,0,0,0,0,0,0,-1,0,1,0,3,0,15,0,West
1,1,0,0,0,0,0,0,-3,0,-1,0,1,0,13,0,West
1,1,0,0,0,0,0,0,-9,0,-7,0,-5,0,7,0,West
1,1,0,1,0,0,0,0,-11,-4,-9,-4,-7,-4,5,-4,West
1,1,0,0,0,0,0,0,-10,0,-8,0,-6,0,6,0,West
1,1,0,0,0,0,0,0,-10,0,-8,0,-6,0,6,0,West
1,1,0,0,0,0,0,0,-15,-4,-13,-4,-11,-4,1,-4,West
1,1,0,1,0,0,0,0,-11,-4,-9,-4,-7,-4,5,-4,West
1,1,0,0,0,0,0,0,-8,-4,-6,-4,-4,-4,8,-4,West
1,1,0,0,0,0,0,0,-7,-4,-5,-4,-3,-4,9,-4,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,1,0,1,0,0,0,0,-7,-2,-5,-2,-3,-2,9,-2,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
1,1,1,0,0,0,0,0,-4,0,-2,0,0,0,12,0,West
1,1,0,1,0,0,0,0,-13,-4,-11,-4,-9,-4,3,-4,West
1,0,1,0,0,0,0,0,-11,0,-9,0,-7,0,5,0,West
1,0,1,0,0,0,0,0,-11,0,-9,0,-7,0,5,0,West
1,1,0,0,0,0,0,0,-9,0,-7,0,-5,0,7,0,West
1,1,0,0,0,0,0,0,-10,0,-8,0,-6,0,6,0,West
1,1,1,0,0,0,0,0,-7,0,-5,0,-3,0,9,0,West
1,1,0,0,0,0,0,0,-9,0,-7,0,-5,0,7,0,West
1,1,0,1,0,0,0,0,-7,-2,-5,-2,-3,-2,9,-2,West
1,1,0,0,0,0,0,0,-8,-2,-6,-2,-4,-2,8,-2,West
1,0,1,1,0,0,0,0,-7,-1,-5,-1,-3,-1,9,-1,West
1,0,0,0,0,0,0,0,-9,-2,-7,-2,-5,-2,7,-2,West
1,1,0,0,0,0,0,0,-12,-4,-10,-4,-8,-4,4,-4,West
1,1,0,0,8,5,3,13,-5,3,-1,4,1,2,9,3,East
1,1,0,0,0,12,5,5,-12,0,-8,4,-3,2,2,2,East
1,1,0,1,13,0,6,5,-13,0,-9,-4,-4,-2,-4,0,East
1,1,1,0,17,12,15,7,-14,3,-11,1,-11,4,-4,2,East
1,1,0,0,12,8,7,4,-9,3,-6,2,-4,3,0,4,East
1,1,0,0,15,9,11,5,-11,4,-8,1,-7,4,-1,4,East
1,1,0,0,19,0,13,11,-15,4,-11,0,-11,2,-6,4,East
1,1,0,1,12,0,0,0,-11,-1,-12,-4,0,-4,-9,-4,East
0,1,1,1,0,0,0,9,-11,-2,-14,-2,-10,-2,-9,1,East
0,1,0,1,12,8,11,15,-12,0,-6,-2,-11,0,-12,-4,East
1,1,0,0,9,16,0,0,-8,-1,-14,-2,-14,-4,-15,-4,East
0,1,1,1,6,14,3,0,-6,0,-14,0,-1,2,-14,-2,East
1,1,0,0,15,0,0,10,-13,2,-6,0,1,0,-7,2,East
1,1,0,0,18,0,10,9,-14,4,-6,0,-7,3,-7,2,East
1,1,0,0,16,2,0,0,-16,0,-2,0,-13,-4,-2,-3,East
1,1,0,0,13,6,5,12,-9,4,-2,4,1,4,8,4,East
1,1,0,0,14,7,4,11,-10,4,-3,4,0,4,7,4,East
1,1,0,0,8,7,10,17,-4,4,3,4,6,4,13,4,East
1,1,0,0,11,4,7,14,-7,4,0,4,3,4,10,4,East
1,1,0,0,13,6,5,12,-9,4,-2,4,1,4,8,4,East
1,1,0,0,12,5,6,13,-8,4,-1,4,2,4,9,4,East
1,1,0,0,17,10,7,8,-13,4,-6,4,-3,4,4,4,East
1,1,0,0,14,7,4,11,-10,4,-3,4,0,4,7,4,East
1,1,0,0,12,5,2,9,-10,2,-3,2,0,2,7,2,East
1,1,0,0,9,0,0,12,-7,2,-5,-2,-3,-2,10,2,East
1,1,1,0,18,0,0,7,-14,4,-12,0,-10,0,3,4,East
0,1,1,1,13,0,0,6,-12,1,-10,-3,-8,-3,5,1,East
0,1,1,1,16,0,0,0,-14,2,-12,-2,-10,-2,-8,-2,East
0,1,1,1,16,0,0,0,-14,2,-12,-2,-10,-2,-8,-2,East
0,1,0,1,12,0,0,0,-12,0,-10,-4,-8,-4,-6,-4,East
1,1,0,1,14,0,0,0,-14,0,-12,-4,-10,-4,-8,-4,East
0,1,1,1,16,0,0,0,-14,2,-12,-2,-10,-2,-8,-2,East
1,1,0,0,17,0,0,0,-13,4,-11,0,-9,0,-7,0,East
1,1,0,0,11,0,0,0,-7,4,-5,0,-3,0,-1,0,East
0,1,1,1,9,0,0,0,-8,1,-6,-3,-4,-3,-2,-3,East
0,1,0,0,7,0,0,0,-7,0,-5,-4,-3,-4,-1,-4,East
1,1,1,0,5,0,0,0,-4,1,-2,-3,0,-3,2,-3,East
0,1,1,1,7,0,0,0,-5,2,-3,-2,-1,-2,1,-2,East
1,1,0,0,8,0,0,0,-6,2,-4,-2,-2,-2,0,-2,East
1,1,0,1,9,0,0,0,-9,0,-7,-4,-5,-4,-3,-4,East
1,1,0,1,9,0,0,0,-9,0,-7,-4,-5,-4,-3,-4,East
0,1,0,0,7,0,0,0,-7,0,-5,-4,-3,-4,-1,-4,East
