@relation 'pacman-data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C27-L5-weka.filters.unsupervised.attribute.AddExpression-Ea11-a1-NposxrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea12-a2-NposyrelGUno-weka.filters.unsupervised.attribute.AddExpression-Ea13-a1-NposxrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea14-a2-NposyrelGDos-weka.filters.unsupervised.attribute.AddExpression-Ea15-a1-NposxrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea16-a2-NposyrelGTres-weka.filters.unsupervised.attribute.AddExpression-Ea17-a1-NposxrelGCuatro-weka.filters.unsupervised.attribute.AddExpression-Ea18-a2-NposyrelGCuatro-weka.filters.unsupervised.attribute.Remove-R1-2,7-18,23-24,26,28-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,10'

@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute distComida numeric
@attribute posxrelGUno numeric
@attribute posyrelGUno numeric
@attribute posxrelGDos numeric
@attribute posyrelGDos numeric
@attribute posxrelGTres numeric
@attribute posyrelGTres numeric
@attribute posxrelGCuatro numeric
@attribute posyrelGCuatro numeric
@attribute class {West,East,South,North,Stop}

@data
1,1,1,0,3,0,7,10,6,1,-2,-2,-6,3,4,9,-1,East
1,1,1,1,4,0,6,11,7,1,-3,-2,-7,3,3,9,-2,East
0,1,1,1,5,0,13,14,10,5,0,2,-4,7,6,13,1,East
1,1,1,0,0,0,8,9,5,-7,-2,-5,-2,0,8,6,3,East
1,1,1,1,0,0,6,5,9,-8,-5,-6,-5,-1,5,5,0,East
1,1,0,1,0,0,0,13,9,-5,-10,-3,-10,-1,-10,8,-5,East
1,1,0,1,0,0,0,13,9,-5,-10,-3,-10,-1,-10,8,-5,East
1,1,0,0,0,0,0,10,6,-8,-10,-6,-10,-4,-10,5,-5,East
1,1,0,1,0,0,0,8,4,-10,-10,-8,-10,-6,-10,3,-5,East
1,1,1,1,0,0,0,7,-1,-8,-7,-6,-7,-4,-7,5,-2,East
1,1,1,1,0,0,0,8,-1,-7,-7,-5,-7,-3,-7,6,-2,East
1,1,1,1,0,0,0,7,-1,-8,-7,-6,-7,-4,-7,5,-2,East
1,1,1,1,0,0,0,7,-1,-9,-8,-7,-8,-5,-8,4,-3,East
1,1,1,1,0,0,0,6,-1,-8,-6,-6,-6,-4,-6,5,-1,East
0,1,1,1,0,0,0,6,-1,-7,-5,-5,-5,-3,-5,6,0,East
1,1,1,1,0,0,0,5,-1,-8,-5,-6,-5,-4,-5,5,0,East
1,1,1,1,0,0,0,5,-1,-8,-5,-6,-5,-4,-5,5,0,East
1,1,0,1,0,0,0,4,-1,-10,-4,-8,-4,-6,-4,3,1,East
1,1,1,1,0,0,0,7,-1,-8,-3,-6,-3,-4,-3,5,2,East
1,1,1,1,0,0,0,6,-1,-9,-3,-7,-3,-5,-3,4,2,East
1,1,0,1,0,0,0,9,-1,-5,-4,-3,-4,-1,-4,8,1,East
1,1,1,1,0,0,0,10,-1,-5,-3,-3,-3,-1,-3,8,2,East
1,1,1,1,0,0,0,9,-1,-6,-3,-4,-3,-2,-3,7,2,East
1,1,1,1,0,0,0,8,-1,-7,-3,-5,-3,-3,-3,6,2,East
1,1,1,1,0,0,0,7,-1,-8,-3,-6,-3,-4,-3,5,2,East
1,1,1,1,0,0,0,6,-1,-9,-3,-7,-3,-5,-3,4,2,East
0,1,1,0,0,0,0,4,-1,-12,-2,-10,-2,-8,-2,1,3,East
1,1,1,1,11,9,5,3,7,-7,-4,-7,2,1,-4,1,2,East
1,1,1,1,10,11,4,0,7,-7,-3,-8,3,1,-3,-5,-7,East
1,1,1,1,0,9,0,0,17,-1,-7,6,3,3,-7,5,-7,East
1,1,1,1,0,9,0,0,16,-2,-7,5,4,2,-7,4,-7,East
1,1,1,1,0,7,0,0,15,-3,-7,4,3,1,-7,3,-7,East
1,1,1,1,0,7,0,0,14,-4,-7,4,3,0,-7,2,-7,East
1,1,1,1,0,5,0,0,13,-5,-7,3,2,-1,-7,1,-7,East
