@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L1'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute GUno {True,False}
@attribute GDos {True,False}
@attribute GTres {True,False}
@attribute GCuatro {True,False}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute fantasmaCercano numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
11,5,1,1,0,1,False,False,True,True,1,1,3,1,15,8,17,11,0,0,7,11,0,1,8,South
11,4,1,0,1,1,False,False,True,True,1,1,3,1,14,8,16,11,0,0,7,12,0,1,9,South
11,3,1,0,1,0,False,False,True,True,1,1,3,1,13,8,16,11,0,0,7,12,0,1,10,North
11,4,1,0,1,1,False,False,True,True,1,1,3,1,13,7,15,11,0,0,5,10,0,1,9,South
11,3,1,0,1,0,False,False,True,True,1,1,3,1,12,8,14,10,0,0,6,9,0,1,10,North
11,4,1,0,1,1,False,False,True,True,1,1,3,1,13,8,14,9,0,0,6,7,0,1,9,South
11,4,1,0,1,1,False,False,True,True,1,1,3,1,12,8,14,8,0,0,5,8,0,1,9,North
11,5,1,1,0,1,False,False,True,True,1,1,3,1,12,9,15,8,0,0,5,6,0,1,8,East
12,5,1,1,0,0,False,False,True,True,1,1,3,1,13,9,16,7,0,0,5,7,0,1,7,East
13,5,1,1,0,1,False,False,True,True,1,1,3,1,14,8,17,9,0,0,4,7,0,1,6,East
14,6,0,0,1,1,False,False,True,True,1,1,3,1,13,8,18,8,0,0,3,5,0,1,4,North
14,7,1,1,1,1,False,False,True,True,1,1,3,1,12,8,18,7,0,0,3,5,0,1,3,North
14,8,1,1,1,1,False,False,True,True,1,1,3,1,12,9,18,8,0,0,3,4,0,1,2,North
14,9,1,1,1,1,False,False,True,True,1,1,3,1,13,9,18,8,0,0,1,6,0,1,1,North
14,10,0,0,1,1,False,False,True,True,1,1,3,1,13,8,18,7,0,0,3,7,0,1,-1,North
14,11,1,1,0,1,False,False,True,True,1,1,3,1,15,8,18,8,0,0,4,6,0,1,-1,South
14,10,0,0,1,1,False,False,True,True,1,1,3,1,15,7,18,9,0,0,4,5,0,1,-1,North
14,11,1,1,0,1,False,False,True,True,1,1,3,1,13,7,18,8,0,0,5,7,0,1,-1,West
13,11,1,1,0,0,False,False,True,True,1,1,3,1,14,6,16,7,0,0,6,7,0,1,-1,East
14,11,1,1,0,1,False,False,True,True,1,1,3,1,14,6,16,7,0,0,5,5,0,1,-1,East
15,11,1,1,0,0,False,False,True,True,1,1,3,1,15,5,16,9,0,0,6,3,0,1,-1,East
16,11,1,1,0,0,False,False,True,True,1,1,3,1,17,5,15,9,0,0,7,3,0,1,-1,West
15,11,1,1,0,0,False,False,True,True,1,1,3,1,17,4,14,9,0,0,9,2,0,1,-1,West
14,11,1,1,0,1,False,False,True,False,1,1,3,1,17,4,14,10,0,0,10,0,0,1,-1,West
13,11,1,1,0,0,False,False,True,False,1,1,3,1,17,3,7,1,0,0,12,0,0,1,-1,West
12,11,1,1,0,0,False,False,True,False,1,1,3,1,18,5,7,1,0,0,12,0,0,1,-1,East
13,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,10,0,0,1,-1,West
12,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,11,0,0,1,-1,West
11,11,1,1,0,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,13,0,0,1,-1,East
12,11,1,1,0,0,False,False,True,False,1,1,3,1,18,4,7,1,0,0,13,0,0,1,-1,West
11,11,1,1,0,1,False,False,True,False,1,1,3,1,17,4,7,1,0,0,13,0,0,1,-1,East
12,11,1,1,0,0,False,False,True,False,1,1,3,1,16,4,7,1,0,0,11,0,0,1,-1,West
11,11,1,1,0,1,False,False,True,False,1,1,3,1,15,4,7,1,0,0,11,0,0,1,-1,West
9,11,1,1,0,0,False,False,True,False,1,1,3,1,14,5,7,1,0,0,11,0,0,1,-1,West
8,11,1,1,0,0,False,False,True,False,1,1,3,1,14,4,7,1,0,0,13,0,0,1,-1,East
9,11,1,1,0,0,False,False,True,False,1,1,3,1,13,4,7,1,0,0,11,0,0,1,-1,East
10,11,1,1,0,1,False,False,True,False,1,1,3,1,13,4,7,1,0,0,10,0,0,1,-1,West
9,11,1,1,0,0,False,False,True,False,1,1,3,1,13,3,7,1,0,0,12,0,0,1,-1,West
8,11,1,1,0,0,False,False,True,False,1,1,3,1,14,3,7,1,0,0,14,0,0,1,-1,East
9,11,1,1,0,0,False,False,True,False,1,1,3,1,14,4,7,1,0,0,12,0,0,1,-1,West
7,11,1,1,0,0,False,False,True,False,1,1,3,1,15,4,7,1,0,0,15,0,0,1,-1,West
6,11,1,1,0,1,False,False,True,False,1,1,3,1,16,4,7,1,0,0,17,0,0,1,-1,South
6,10,1,0,1,1,False,False,True,False,1,1,3,1,16,5,7,1,0,0,15,0,0,1,-1,South
6,9,1,1,1,1,False,False,True,False,1,1,3,1,15,5,7,1,0,0,13,0,0,1,-1,West
5,9,1,1,1,1,False,False,True,False,1,1,3,1,15,4,7,1,0,0,15,0,0,1,-1,West
4,9,1,1,0,1,False,False,True,False,1,1,3,1,15,3,7,1,0,0,17,0,0,1,-1,West
3,9,1,1,0,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,19,0,0,1,-1,East
10,8,1,0,1,1,False,False,True,False,1,1,3,1,17,4,7,1,0,0,11,0,0,1,-1,North
10,9,1,1,1,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,13,0,0,1,-1,West
9,9,1,1,0,1,False,False,True,False,1,1,3,1,17,4,7,1,0,0,13,0,0,1,-1,West
8,9,1,1,0,1,False,False,True,False,1,1,3,1,17,5,7,1,0,0,13,0,0,1,-1,West
7,9,1,1,0,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,16,0,0,1,-1,South
7,8,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,14,0,0,1,-1,South
10,7,1,0,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,10,0,0,1,-1,North
10,8,1,0,1,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,12,0,0,1,-1,North
10,9,1,1,1,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,13,0,0,1,-1,West
9,9,1,1,0,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,14,0,0,1,-1,East
10,9,1,1,1,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,13,0,0,1,-1,South
10,8,1,0,1,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,12,0,0,1,-1,West
9,8,1,1,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,12,0,0,1,-1,East
10,8,1,0,1,1,False,False,True,False,1,1,3,1,16,3,7,1,0,0,11,0,0,1,-1,West
9,8,1,1,1,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,13,0,0,1,-1,North
9,9,1,1,0,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,14,0,0,1,-1,South
9,8,1,1,1,1,False,False,True,False,1,1,3,1,18,3,7,1,0,0,14,0,0,1,-1,East
10,8,1,0,1,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,12,0,0,1,-1,North
10,10,0,1,1,1,False,False,True,False,1,1,3,1,17,4,7,1,0,0,13,0,0,1,-1,North
10,11,1,1,0,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,15,0,0,1,-1,West
9,11,1,1,0,0,False,False,True,False,1,1,3,1,18,4,7,1,0,0,16,0,0,1,-1,East
10,11,1,1,0,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,14,0,0,1,-1,East
11,11,1,1,0,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,14,0,0,1,-1,South
11,10,1,0,1,1,False,False,True,False,1,1,3,1,18,3,7,1,0,0,14,0,0,1,-1,West
10,10,0,1,1,1,False,False,True,False,1,1,3,1,18,3,7,1,0,0,15,0,0,1,-1,North
9,11,1,1,0,0,False,False,True,False,1,1,3,1,18,3,7,1,0,0,17,0,0,1,-1,West
8,11,1,1,0,0,False,False,True,False,1,1,3,1,17,4,7,1,0,0,16,0,0,1,-1,West
7,11,1,1,0,0,False,False,True,False,1,1,3,1,18,5,7,1,0,0,17,0,0,1,-1,East
8,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,15,0,0,1,-1,East
8,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,15,0,0,1,-1,West
7,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,16,0,0,1,-1,East
8,11,1,1,0,0,False,False,True,False,1,1,3,1,18,4,7,1,0,0,17,0,0,1,-1,West
6,11,1,1,0,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,18,0,0,1,-1,South
6,10,1,0,1,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,18,0,0,1,-1,North
6,11,1,1,0,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,18,0,0,1,-1,East
7,11,1,1,0,0,False,False,True,False,1,1,3,1,18,6,7,1,0,0,16,0,0,1,-1,East
8,11,1,1,0,0,False,False,True,False,1,1,3,1,18,5,7,1,0,0,16,0,0,1,-1,West
6,11,1,1,0,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,18,0,0,1,-1,South
6,10,1,0,1,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,17,0,0,1,-1,North
6,11,1,1,0,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,19,0,0,1,-1,West
5,11,1,1,0,1,False,False,True,False,1,1,3,1,17,4,7,1,0,0,19,0,0,1,-1,East
5,11,1,1,0,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,20,0,0,1,-1,South
5,10,0,1,1,1,False,False,True,False,1,1,3,1,18,3,7,1,0,0,20,0,0,1,-1,East
6,10,1,0,1,1,False,False,True,False,1,1,3,1,17,3,7,1,0,0,18,0,0,1,-1,West
5,10,0,1,1,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,19,0,0,1,-1,East
6,10,1,0,1,1,False,False,True,False,1,1,3,1,18,3,7,1,0,0,19,0,0,1,-1,South
6,9,1,1,1,1,False,False,True,False,1,1,3,1,18,4,7,1,0,0,17,0,0,1,-1,North
7,9,1,1,0,1,False,False,True,False,1,1,3,1,18,5,7,1,0,0,15,0,0,1,-1,East
