@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R11-18,20'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute score numeric
@attribute scoreNext numeric

@data
9,11,1,1,0,0,9,0,0,10,385,384
10,11,1,1,0,1,10,0,0,9,384,383
10,10,0,1,1,1,9,0,0,8,383,382
10,9,1,1,1,1,8,0,0,7,382,381
10,8,1,0,1,1,7,0,0,6,381,380
10,7,1,0,1,1,6,0,0,5,380,479
10,6,1,0,1,1,5,0,0,4,479,478
10,5,1,1,1,1,4,0,0,5,478,477
9,5,1,1,1,1,3,0,0,6,477,476
8,5,1,1,1,1,2,0,0,7,476,475
7,5,1,1,0,1,1,0,0,8,475,674
6,5,1,1,0,1,0,0,0,9,674,673
7,5,1,1,0,1,0,0,0,8,673,672
8,5,1,1,1,1,0,0,0,7,672,671
9,5,1,1,1,1,0,0,0,6,671,670
10,5,1,1,1,1,0,0,0,5,670,669
11,5,1,1,0,1,0,0,0,4,669,668
12,5,1,1,0,0,0,0,0,3,668,667
13,5,1,1,0,1,0,0,0,2,667,666
1,11,0,1,0,1,11,7,7,18,0,-1
1,11,0,1,0,1,12,6,8,19,-1,-2
1,11,0,1,0,1,11,7,9,20,-2,-3
1,11,0,1,0,1,10,8,9,20,-3,-4
2,11,1,1,0,0,8,6,9,18,-4,-5
3,11,1,1,0,0,7,5,8,16,-5,-6
4,11,1,1,0,0,7,3,8,16,-6,-7
5,11,1,1,0,1,7,2,6,14,-7,-8
5,10,0,1,1,1,6,2,6,13,-8,-9
5,9,1,1,1,1,5,1,6,12,-9,190
6,9,1,1,1,1,5,0,4,11,190,189
7,9,1,1,0,1,7,0,4,9,189,188
8,9,1,1,0,1,8,0,2,8,188,187
9,9,1,1,0,1,9,0,1,6,187,186
10,9,1,1,1,1,10,0,3,4,186,185
10,8,1,0,1,1,8,0,3,3,185,184
10,7,1,0,1,1,7,0,3,1,184,483
10,6,1,0,1,1,7,0,3,0,483,482
10,5,1,1,1,1,5,0,3,0,482,481
10,4,1,1,1,1,3,0,4,0,481,480
10,5,1,1,1,1,3,0,4,0,480,479
10,6,1,0,1,1,5,0,2,0,479,478
9,6,1,1,1,1,3,0,2,0,478,477
8,6,0,1,1,1,2,0,3,0,477,476
8,7,1,1,1,1,3,0,2,0,476,475
9,7,1,1,1,1,3,0,1,0,475,674
10,7,1,0,1,1,3,0,0,0,674,673
1,11,0,1,0,1,11,7,7,18,0,-1
1,11,0,1,0,1,11,6,6,18,-1,-2
1,11,0,1,0,1,10,5,7,18,-2,-3
1,11,0,1,0,1,11,6,8,19,-3,-4
2,11,1,1,0,0,11,5,8,17,-4,-5
3,11,1,1,0,0,11,4,8,17,-5,-6
4,11,1,1,0,0,11,2,6,15,-6,-7
5,11,1,1,0,1,11,2,6,14,-7,-8
6,11,1,1,0,1,10,2,6,12,-8,-9
7,11,1,1,0,0,8,4,6,10,-9,-10
8,11,1,1,0,0,9,4,4,9,-10,-11
7,11,1,1,0,0,7,2,4,10,-11,188
6,11,1,1,0,1,9,0,4,10,188,187
6,10,1,0,1,1,7,0,5,10,187,186
6,9,1,1,1,1,5,0,6,10,186,185
7,9,1,1,0,1,5,0,5,10,185,184
8,9,1,1,0,1,7,0,3,8,184,183
9,9,1,1,0,1,9,0,3,6,183,182
10,9,1,1,1,1,9,0,3,4,182,181
10,10,0,1,1,1,9,0,3,6,181,180
10,11,1,1,0,1,9,0,3,7,180,179
9,11,1,1,0,0,9,0,3,9,179,178
8,11,1,1,0,0,7,0,2,10,178,177
7,11,1,1,0,0,6,0,2,10,177,176
6,11,1,1,0,1,7,0,2,10,176,175
6,10,1,0,1,1,6,0,2,8,175,374
5,10,0,1,1,1,6,0,0,8,374,373
5,10,0,1,1,1,6,0,0,7,373,372
5,11,1,1,0,1,6,0,0,7,372,371
5,10,0,1,1,1,6,0,0,5,371,370
5,9,1,1,1,1,5,0,0,5,370,369
6,9,1,1,1,1,5,0,0,4,369,368
7,9,1,1,0,1,5,0,0,4,368,367
8,9,1,1,0,1,7,0,0,4,367,366
9,9,1,1,0,1,9,0,0,2,366,365
10,9,1,1,1,1,11,0,0,1,365,564
11,9,1,1,1,0,13,0,0,0,564,563
12,9,1,1,0,1,13,0,0,0,563,562
11,9,1,1,1,0,13,0,0,0,562,561
10,9,1,1,1,1,12,0,0,0,561,560
10,8,1,0,1,1,10,0,0,0,560,559
10,7,1,0,1,1,8,0,0,0,559,658
10,6,1,0,1,1,6,0,0,0,658,657
10,5,1,1,1,1,4,0,0,0,657,656
9,5,1,1,1,1,2,0,0,0,656,655
8,5,1,1,1,1,2,0,0,0,655,654
8,4,1,1,1,1,2,0,0,0,654,653
8,3,1,1,1,0,2,0,0,0,653,652
9,3,1,1,1,0,2,0,0,0,652,651
10,3,1,1,1,0,2,0,0,0,651,650
10,4,1,1,1,1,1,0,0,0,650,649
9,4,1,1,1,1,3,0,0,0,649,648
8,4,1,1,1,1,5,0,0,0,648,647
9,4,1,1,1,1,4,0,0,0,647,646
9,5,1,1,1,1,3,0,0,0,646,645
10,5,1,1,1,1,3,0,0,0,645,644
