@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R26,28-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-L5-weka.filters.unsupervised.attribute.Remove-R7-10,23-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C19-L2'

@attribute posx numeric
@attribute posy numeric
@attribute LegalWest {0,1}
@attribute LegalEast {0,1}
@attribute LegalNorth {0,1}
@attribute LegalSouth {0,1}
@attribute posxGUno numeric
@attribute posyGUno numeric
@attribute posxGDos numeric
@attribute posyGDos numeric
@attribute posxGTres numeric
@attribute posyGTres numeric
@attribute posxGCuatro numeric
@attribute posyGCuatro numeric
@attribute distGUno numeric
@attribute distGDos numeric
@attribute distGTres numeric
@attribute distGCuatro numeric
@attribute movaleatorio {0,1}
@attribute distComida numeric
@attribute class {West,East,South,North,Stop}

@data
4,7,1,1,1,1,4,3,1,13,5,1,7,1,4,9,0,0,0,16,North
4,8,1,1,1,1,5,3,1,13,5,1,7,1,6,8,0,0,0,15,East
5,8,1,1,1,1,6,3,2,13,5,1,7,1,6,8,0,0,0,14,East
6,8,1,1,1,1,5,3,2,14,5,1,7,1,6,10,0,0,0,13,West
5,8,1,1,1,1,5,3,3,14,5,1,7,1,5,8,0,0,0,14,South
5,7,1,1,1,1,5,3,2,14,5,1,7,1,4,10,0,0,0,15,South
5,6,1,1,1,1,5,3,2,14,5,1,7,1,3,11,0,0,0,16,South
5,5,1,1,1,1,4,3,3,14,5,1,7,1,3,11,0,0,0,17,West
4,5,1,1,1,1,4,4,3,13,5,1,7,1,1,9,0,0,0,18,South
4,4,1,1,1,1,1,1,3,14,5,1,7,1,0,11,0,0,0,19,West
3,4,1,1,1,1,1,1,3,13,5,1,7,1,0,9,0,0,0,20,North
3,5,1,1,1,1,1,1,3,13,5,1,7,1,0,8,0,0,0,19,North
3,6,1,1,1,1,1,1,3,12,5,1,7,1,0,6,0,0,0,18,North
3,7,1,1,1,1,1,1,3,12,5,1,7,1,0,5,0,0,0,17,North
3,8,1,1,1,1,1,1,3,12,5,1,7,1,0,4,0,0,0,16,North
2,7,1,1,1,1,1,1,3,13,5,1,7,1,0,7,0,0,0,18,East
3,7,1,1,1,1,1,1,3,14,5,1,7,1,0,7,0,0,0,17,North
3,8,1,1,1,1,1,1,2,14,5,1,7,1,0,7,0,0,0,16,West
2,8,1,1,1,1,1,1,3,14,5,1,7,1,0,7,0,0,0,17,East
