@relation pacman-data
    @ATTRIBUTE posx NUMERIC 
    @ATTRIBUTE posy NUMERIC
    @attribute LegalWest {0,1}
    @attribute LegalEast {0,1}
    @attribute LegalNorth {0,1}
    @attribute LegalSouth {0,1}
    @attribute distGUno numeric
    @attribute distGDos numeric
    @attribute distGTres numeric
    @attribute distGCuatro numeric
    @attribute posxrelGUno numeric
    @attribute posyrelGUno numeric
    @attribute posxrelGDos numeric
    @attribute posyrelGDos numeric
    @attribute posxrelGTres numeric
    @attribute posyrelGTres numeric
    @attribute posxrelGCuatro numeric
    @attribute posyrelGCuatro numeric
    @ATTRIBUTE score NUMERIC
    @ATTRIBUTE class {West, East, South, North, Stop}
    @ATTRIBUTE scoreNext NUMERIC
@data
7,6,1,0,1,1,6,0,0,4,-3,-3,-4,-5,-2,-5,-1,2,674,North,673
7,7,1,0,1,1,8,0,0,4,-4,-4,-4,-6,-2,-6,-1,2,673,North,672
7,8,1,0,1,1,8,0,0,2,-3,-5,-4,-7,-2,-7,-1,2,672,West,671
6,8,1,1,1,1,8,0,0,2,-3,-5,-3,-7,-1,-7,0,1,671,West,670
5,8,1,1,1,1,6,0,0,2,-1,-5,-2,-7,0,-7,1,2,670,North,869
5,9,1,1,1,1,8,0,0,0,-2,-6,-2,-8,0,-8,0,1,869,East,868
6,9,1,1,1,1,9,0,0,0,-3,-6,-3,-8,-1,-8,1,-8,868,East,867
7,9,1,0,1,1,10,0,0,0,-4,-6,-4,-8,-2,-8,0,-8,867,South,866
7,8,1,0,1,1,8,0,0,0,-4,-4,-4,-7,-2,-7,0,-7,866,South,865
7,7,1,0,1,1,6,0,0,0,-4,-2,-4,-6,-2,-6,0,-6,865,South,864
7,6,1,0,1,1,4,0,0,0,-3,-1,-4,-5,-2,-5,0,-5,864,South,863
7,5,1,0,1,1,2,0,0,0,-2,0,-4,-4,-2,-4,0,-4,863,West,862
6,5,1,1,1,1,2,0,0,0,-2,0,-3,-4,-1,-4,1,-4,862,West,861
1,3,0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,0,Stop,-1
1,3,0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,-1,Stop,-2
1,3,0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,-2,Stop,-3
1,3,0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,-3,Stop,-4
1,3,0,1,1,0,7,6,7,6,0,7,1,5,1,6,2,4,-4,North,-5
1,4,0,1,1,1,6,5,6,5,0,6,1,4,1,5,2,3,-5,North,-6
1,5,0,1,1,1,5,4,5,4,0,5,1,3,1,4,2,2,-6,North,-7
1,6,0,1,1,1,4,3,4,3,0,4,1,2,1,3,2,1,-7,North,92
1,7,0,1,1,1,3,2,3,2,0,3,1,1,1,2,2,0,92,North,91
1,8,0,1,1,1,2,1,2,3,0,2,1,0,1,1,2,-1,91,North,190
1,9,0,1,1,1,1,2,1,4,0,1,1,-1,1,0,2,-2,190,North,389
1,10,0,1,0,1,0,3,2,5,0,-9,1,-2,1,-1,2,-3,389,East,388
2,10,1,1,0,1,0,2,1,4,-1,-9,0,-2,0,-1,1,-3,388,South,587
2,9,1,1,1,1,0,1,0,3,-1,-8,0,-1,3,-8,1,-2,587,South,786
2,8,1,1,1,1,0,0,0,2,-1,-7,1,-7,3,-7,1,-1,786,South,785
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,0,Stop,-1
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,-1,Stop,-2
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,-2,Stop,-3
1,11,0,1,0,1,11,7,7,18,5,-6,5,-2,7,0,13,-5,-3,East,-4
